text,label
"Наш страх перед катастрофой лишь увеличивает ее вероятность. Я не знаю ни одного живого существа, за исключением разве что насекомых, которые бы отличались большей неспособностью учиться на собственных ошибках, чем люди.",0
"Тот, кто хочет развить свою волю, должен научиться преодолевать препятствия. ",0
Из ложных посылок можно вывести истинное заключение.,0
"Прекращение деятельности всегда приводит за собой вялость, а за вялостью идёт дряхлость.",0
"Одиночество обусловлено не отсутствием людей вокруг, а невозможностью говорить с людьми о том, что кажется тебе существенным, или неприемлемостью твоих воззрений для других.",0
"Отношения между народами нужно строить не на войнах и распрях, а на мире и согласии. ",0
"Говоря о Боге, мы не можем установить, чем Он является, а лишь чем Он не является.",0
"Кто придает большое значение мнению людей, делает им слишком много чести",0
В начале всяческой философии лежит удивление.,0
Куда несчастней создан человек! ,0
"Бытие – продукт отвлеченной мысли, а вот этот мой любимый кот существует.",0
Будьте внимательны к своим мыслям — они начало поступков. ,0
"Я понял, что успех надо измерять не столько по достигнутому положению в обществе, сколько по препятствиям, которые человеку пришлось преодолеть на пути к успеху.",0
"Кто затыкает ухо свое от вопля бедного, тот и сам будет вопить, — и не будет услышан.",0
"... объединяющего начала духовной и материальной сторон бытия мы будем искать в них самих, а выше их, — не в мире, представляющем двойство духа и материи, а вне мира, в высочайшем существе, отличном от мира.",0
"Ваши воспоминания – всего лишь старый фонарь, висящий на углу улицы, где больше почти никто не ходит. ",0
"Критика всегда соответственна тем явлениям, о которых судит: поэтому она есть сознание действительности",0
"И не думай, будто оружье фортуны избавит тебя от опасностей, - бейся твоим собственным! Фортуна против себя не вооружит. Значит, даже снаряженные против врага - против неё безоружны",0
"Что же объясняет причину войны между государствами? Ответ Руссо состоит в том, что нет ничего, что её бы остановило.",0
"Стыдно не уметь защищать себя рукою, но еще более стыдно не уметь защищать себя словом. ",0
"Утверждать нужно не право на счастье для каждого человека, а достоинство каждого человека, верховную ценность каждого человека, который не должен быть превращен в средство.",0
"И как человек, никогда не имевший денег, он думал, что они могут дать ему любовь, и как человек, не знавший женской любви, думал, что она может дать ему счастье.",0
"Не оспаривай ничьих мнений, помни, что если бы мы захотели разубедить кого-либо во всех нелепостях, в какие он верит, то можно было бы дожить до Мафусаиловых лет, не покончив с этим.",0
Великий Сергей Аполлинариевич Герасимов говорил: «Искренность котенка — в «мяу».,0
"Фашизм возник как реакция на большевизм, как концентрация государственно-охранительных сил направо. Во время наступления левого хаоса и левого тоталитаризма — это было явлением здоровым, необходимым и неизбежным. Такая концентрация будет осуществляться и впредь, даже в самых демократических государствах: в час национальной опасности здоровые силы народа будут всегда концентрироваться в направлении охранительно-диктаториальном. Так было в древнем Риме, так бывало в новой Европе, так будет и впредь.",0
"Тогда слушай. Я говорю, что справедливость есть ничто иное как преимущество для сильного. ",0
"Осуществляя конструктивные процессы, мы часто наталкиваемся на некоторые досадные препятствия. Мне, например, хотелось бы написать рукопись этой брошюры на одной длинной бумажной ленте в одну строку, то есть в виде слова в некотором алфавите, содержащем русские, латинские и греческие буквы, знаки препинания и ещё кое-какие знаки. Однако таких лент я не видел в продаже.",0
"Здравый смысл кажется единственной вещью, которая во всем мире распределена равномерно — никто не хочет его больше, чем у него есть.",0
"Велик тот человек, кто глиняной утварью пользуется как серебряной, но не менее велик тот, кто серебряной пользуется как глиняной.",0
"Философы ужасно любят называть свои суждения «истинами», ибо в таком чине они становятся общеобязательными. Но каждый философ сам выдумывает свои истины. Это значит: он хочет, чтобы его ученики обманывались по выдуманному им способу, право же обманываться на свой манер он оставляет за одним собой. Почему? Почему не предоставить каждому человеку права обманываться, как ему вздумается?",0
Умение ставить разумные вопросы — признак ума и проницательности.,0
"Благородный муж мягок в гуманности, тверд в справедливости ",0
"Почему отец любит сына сильнее, чем сын отца? Потому что сын — его создание. Все бывают благосклонны к тому, что сами создали.",0
"Льву и тому не всегда угощаться приходится мясом. Как ни силен, и его может постигнуть нужда.",0
"То, что все познает и никем не познается, это – субъект. Он, следовательно, – носитель мира, общее и всегда предполагаемое условие всех явлений, всякого объекта: ибо только для субъекта существует все, что существует.",0
"Бояться любви — значит бояться жизни, а тот, кто боится жизни, на три четверти мертв.",0
Страсть без борьбы почти не встречается.,0
"Смешны люди, гордящиеся тем, что не в нашей власти.",0
Для высокой дружбы необходимо одно условие — способность обходиться без нее.,0
"Если вы начинаете с самопожертвования ради тех, кого любите, то закончите ненавистью к тем, кому принесли себя в жертву.",0
"Ограниченному обыкновенному человеку нет, например, ничего легче, как вообразить себя человеком необыкновенным и оригинальным и усладиться тем без всяких колебаний. ",0
"Когда предсказание подтверждено, цель науки достигнута: радость познания есть радость верификации, ощущение триумфа, если ",0
Невоздержанная молодость передает старости изношенное тело.,0
"Спасение не в мыслях, а в поступках, в напряжённой работе, действие порождает силу.",0
... спешное устранение всех расстояний не приносит с собой никакой близости...,0
"Свобода и время — важнейшие для человека вещи, какие только возможно купить за деньги.",0
"И все-таки я полагаю, что натиск лучше, чем осторожность, ибо фортуна — женщина, и кто хочет с ней сладить, должен колотить ее и пинать. Таким она поддается скорее, чем тем, кто холодно берется за дело",0
Доказанное примерами никогда нельзя считать полностью доказанным,0
"Едва ли люди стали философствовать, если бы не было смерти.",0
"Я хочу попасть в ад, а не в рай. Там я смогу наслаждаться обществом пап, королей и герцогов, тогда как рай населён одними нищими, монахами и апостолами.",0
"«нервно поигрывал кочергой», которой, как дирижерской палочкой, акцентировал свои аргументы; а когда дело дошло до вопроса о статусе этики, потребовал, чтобы Поппер привел пример морального принципа. «Я ответил: ""Не угрожать приглашенным докладчикам кочергой"".",0
Для всех смертных вино – вещь отличная,0
"Ведь есть же какой-то обманщик, весьма могущественный и хитрый, который употребляет все свое искусство для того, чтобы меня всегда обманывать. ",0
Не всё живое достойно жить.,0
"Если не вкладывать себя в работу, от скуки сдохнешь.",0
"В этом мире все находится не на своем месте, начиная с самого мира.",0
"Не теряйте времени на сомнения в себе, потому что это пустейшее занятие из всех выдуманных человеком.",0
Вежливость — это молчаливое соглашение игнорировать и не подчёркивать друг в друге моральную и умственную нищету. ,0
"Ненависть — важнейшая вещь в жизни. Мудрый человек, утративший чувство ненависти, созрел для бесплодности и смерти.",0
"Рабство унижает человека до того, что он начинает любить свои оковы.",0
Путешествие в тысячу ли начинается с одного шага,0
"Я удивляюсь тому, кто допустил на своем столе искаженные формы мертвых тел и потребовал для своего ежедневного питания то, что еще так недавно представляло собою существа, одаренные движением, пониманием и голосом.",0
"Религиозное свободомыслие — вещь рискованная для женщин. Такие женщины, как Жорж Занд, как подруга Шелли — редкое явление: скепсис слишком легко разъедает женский характер и придает рассудку большую силу, чем это годится для женщин. Но если идеи, за которые боремся мы, дети нового времени, истинны, то недалека уже пора, когда женское сердце начнет биться за идеалы современного духа так же горячо, как оно сейчас бьется за набожную веру отцов, — и лишь тогда наступит победа нового, когда молодое поколение станет его впитывать вместе с молоком матери.",0
"Беззаботность, а вместе с ней и неосторожность, которые вызывает опьянение, — это обманчивое чувство подъема жизненной силы; в опьянении человек не чувствует трудностей жизни...",0
"Все нападки на христианство —мнимая борьба, поскольку в принципе <люди> хотят ведь того же самого, но только другим способом.",0
"Напрасно ожидать добродетели от женщин, покуда они не станут независимыми от мужчин; более того, не стоит ожидать от них силы материнского инстинкта, что как считается, делает ее хорошей матерью и женой. Покуда зависят от мужчин, они будут подлым, хитрым и эгоистичными. ",0
"Я знаю о ненависти и зависти вашего сердца. Вы недостаточно велики, чтобы не знать ненависти и зависти. Так будьте же настолько велики, чтобы не стыдиться себя самих.",0
Доверять государству - безумие.,0
Красота — это обещание счастья. ,0
"Принцип национальности господствует у людей над принципом внутренней свободы. Народы охотнее согласились бы потерять свои либеральные учреждения, чем утратить своё имя и свою землю.",0
"Считай себя достойным любого дела и слова, отвечающего природе. И пусть не волнует тебя, если последуют за ним чьи-то упреки или толки, но, если сделано или сказано прекрасно, не откажи самому себе в достоинстве. Ведь у тех людей свое руководящее начало и поступают они по им свойственному устремлению.",0
"Нет безнадёжнее доли, чем быть затянутым туда, где даже право превратилось в оружие",0
"Телевидение девяностых льстит этим вкусам и эксплуатирует их с целью завоевания большой аудитории, но предлагает телезрителям примитивную духовную пищу, образцом которой являются ток-шоу, биографические исповеди, выставляющие напоказ без всякого стеснения пережитое, часто носящее экстремальный характер и способное удовлетворить страсть к своеобразному вуайеризму и эксгибиционизму.",0
"Мужчина и женщина, речь и поступок должны быть удостоены похвалы, если они заслуживают похвалы и понести вину, если недостойны, потому что, обвинять похвальное и хвалить порицаемые, это равная ошибка.",0
"Те, кто любят красоту человека без любви с плотскими наслаждениям, любят ради самой красоты. Для тех, у кого любовь – это соитие (что характерно, прежде всего, для женщин), истинной целью является самоувековечивание через продолжение рода. И те и другие, пока они руководствуются этими мотивами, находятся на правильном пути. Первые, впрочем, избрали путь более достойный.",0
"В наш век роскоши мы дошли до того, что нанимаем посторонних людей для совершения за нас добрых дел. ",0
"Ничто не делается справедливо, если недобровольно",0
"Если дама говорит «нет», это значит «может быть»; если она говорит «может быть», это значит «да»; если она говорит «да», это не дама.",0
Вступление в любую войну без воли к победе фатально.,0
Покупающие власть за деньги привыкают извлекать из неё прибыль.,0
"Люди находят действительность неудовлетворительной и поэтому живут в мире фантазий, воображая себе исполнение своих желаний. ",0
Я решил придерживаться любви. Ненависть – слишком тяжелое бремя.,0
"Свободный человек думает больше о жизни, чем о смерти.",0
[…] всякий интерес является в конечном счете практическим и […] даже интерес спекулятивного разума обусловлен и полон лишь в практическом употреблении.,0
"Свободный человек ни о чём так мало не думает, как о смерти, и мудрость его состоит в размышлении о жизни, а не о смерти.",0
"Несмотря на все протесты, непреложным остается тот факт, что любовь и связанные с ней проблемы и конфликты играют основополагающую роль в жизни человека и, как показывают проводимые исследования, им принадлежит даже более важная роль, чем он сам подозревает.",0
Идиотизм в своих глубинных корнях сакрален.,0
"Добиваться власти для спокойствия и безопасности значит взбираться на вулкан, для того чтобы укрыться от бури.",0
Настоящий мир — наилучший.,0
"Святое Писание суть только дальновидные советы Великого Советника, служащие к улучшению нравственности и направлению людей на прямой путь.",0
"Твой кот тебя, черт возьми, не любит. Вот, собака; ты знаешь, что она любит тебя. Она буквально смотрит на вас, пока вы идете по комнате, и становится счастливой. [...] Коту плевать. Кот просто выходит из дома через окно, возвращается, когда голоден, дает его немного погладить и снова уходит.",0
"Человек, по-настоящему мыслящий, черпает из своих ошибок не меньше познания, чем из своих успехов.",0
Из луча созерцания постигается невидимое божественного умозрения,0
Утерянная традиция может быть реставрирована и оживлена только благодаря контакту с духом живой Традиции. ,0
"Часто улыбка и есть главное. Улыбкой благодарят. Улыбкой вознаграждают. Улыбкой дарят тебе жизнь. И есть улыбка, ради которой пойдёшь на смерть.",0
"Воплощение желания откладывает настоящее удовольствие. И только в фантазиях или перверсивных авантюрах происходит так, что мечта сбывается - отсюда возникают боль и ярость",0
"Так, совершенно бесполезный для животной жизни предмет (знак отличия или вражеское знамя) желается исключительно потому, что стал предметом желания других <...> человеческая история - это история желаемых желаний.",0
"Любой человек поэт, когда он любит",0
"Я бесстыден, о Боже, как глупое дитя берет на себя непостижимую задачу - схватить лунный диск, отраженный в воде, только из-за своей дерзости, я пытаюсь восхвалять такую великую душу, как ты. ",0
"Если бы когда-нибудь за наше воспитание взялось существо высшего порядка, тогда действительно увидели бы, что может выйти из человека.",0
"Кто счастлив? Тот, кто здоров телом, одарен спокойствием духа и развивает свои дарования.",0
Даже самый маленький человек способен изменить ход будущего.,0
В темноте все цвета одинаковы ,0
— Меньше знаешь — крепче спишь!,0
Семья всегда будет основой общества. ,0
Железный меч не выше прекрасной игры на кифаре,0
"Нет лучшего реактива на невротическую психику чем задать вопрос об оценке другого пола. Усиленное отрицание равноправия полов, обесценение или переоценка другого пола неизбежно связаны с невротическими готовностями и невротическими чертами характера. ",0
"Нет ничего труднее, чем борьба на войне.",0
"Чем честнее человек, тем меньше он подозревает других в бесчестности. Низкая душа предполагает всегда и самые низкие побуждения у благородных поступков.",0
"Души побеждаются не оружием, а любовью и великодушием ",0
"Несчастье делает человека легко ранимым, а непрерывное страдание мешает ему быть справедливым.",0
"Сомнение доставляет мне не меньшее наслаждение, чем знание",0
"Абсолютное зло невозможно, оно непременно уничтожило бы само себя.",0
"Некоторым ведь больше нечего и делать, как только говорить. Есть такое призвание.",0
"Капитализм — не человеческий симптом, а планетарная неизбежность... Капитализм был здесь еще до человеческого существования...",0
"Мы понимаем развалины не ранее, чем сами становимся развалинами.",0
"""Страсть, в целом, приводит к смятению и трате жизненных сил, имеющихся в распоряжении души. В этом смысле, страсть будоражит душу и преждевременно истощает капитал жизненных сил. Однако, с другой стороны, она тренирует душу, развивает её и пробуждает. Если смотреть на страсть с этой стороны, она полезна и необходима для расширения жизненных возможностей и сознания. ",0
"Как только вы вообразите, что не в состоянии выполнить определённое дело, с этого момента его осуществление становится для вас невозможным ",0
"Взглянув на небо, просто скажите: «Я не знаю, откуда все это», — и не сочиняйте небылицы.",0
Идеология представляет собой воображаемое отношение индивидов к их реальным условиям существования.,0
"Творение далеко от того, чтобы быть эстетической ценностью.",0
"Человек — это законченная картина, можно что-то в ней не любить, как там изображены горы или реки, можно в ней любить что-то определенное. Но воспринимать ее надо целиком, в комплексе. Или ты любишь человека всего, или нет. Да, иногда нельзя мириться с теми или иными чертами, и тогда надо искать компромисса. ",0
"Есть ценности, которые уже рождаются устаревшими.",0
"Книга — это зеркало. И если в него смотрится обезьяна, то из него не может выглянуть лик апостола.",0
"Свойство тирана — отталкивать всех, сердце",0
"Главное орудие эстетики, глаз, абсолютно самостоятелен. В самостоятельности он уступает только слезе.",0
"Абстрактная свобода, как и другие абстракции, не существует.",0
"Кто не мыслит самостоятельно, тот находится под внушением другого, мыслящего за него.",0
Настоящий способ мстить врагу — это не походить на него.,0
"Сдержанность нужнее тем, кто слышит о себе дурное, нежели тем, в кого бросают камнями.",0
"Как ржавчина съедает железо, так завистников — их собственный нрав ",0
"Античный дух со своими оракулами и авгурами хочет лишь знать будущее, западный хочет его творить.",0
"Как ни глупы слова дурака, а иногда бывают они достаточны, чтобы смутить умного человека. ",0
"Я полагаю, что путь в науку, да и в философию, только один: встретить проблему, увидеть, как она красива, и влюбиться в неё; обвенчаться с нею и жить счастливо, пока смерть не разлучит вас – если только вам не суждено будет увлечься другой, более красивой проблемой или отыскать решение первой. Но и такое решение, будучи найденным, может породить, к вашему же удовольствию, целое семейство очаровательных, хотя, вполне вероятно, и непростых, юных проблем.",0
"В вопросе о том, что такое Дух, существуют большие разногласия.",0
"«Правильно жить» означает лицемерие, «правильно думать» — глупость. ",0
"Борьба с Западом — единственное спасительное средство как для излечения наших русских культурных недугов, так и для развития общеславянских симпатий, для поглощения ими мелких раздоров между разными славянскими племенами и направлениями. ",0
"Есть люди, которые из прошлого сразу прыгают в будущее, и лишь их тень падает на настоящее.",0
"Нет в русском языке ничего осадочного или кристаллического; всё волнует, дышит, живет.",0
"Исходя из сути и природы бытия, противоречий не существует. Проверьте исходные данные, одно из них неверно.",0
"От многой мудрости много скорби, и умножающий знание умножает печаль.",0
"Надо, чтобы божественный закон внушал страх, дабы философ обрел и умел сохранять спокойствие духа благодаря осмотрительности и вниманию к самому себе. ",0
"Шутка никому ещё не помогла приобрести расположение врага, но многим помогла потерять друга.",0
"Никогда не сердись на человека за то, что он сказал правду.",0
"Каждому человеку в течение дня представляется не менее десяти возможностей изменить свою жизнь. Успех приходит к тому, кто умеет их использовать.",0
"Глупая красота — не красота. Вглядись в тупую красавицу, всмотрись глубоко в каждую черту лица, в улыбку ее, взгляд — красота ее превратится мало-помалу в поразительное безобразие.",0
"Нет слов, которые бы лучше передавали впечатление от ликующей тишины, от беспредельной умиренности первохристианского кладбища. Здесь тела лежат, как пшеница под зимним саваном, ожидая, предваряя, пророчествуя нездешнюю, внемирную весну Вечности.",0
"Из всего того, что мудрость доставляет тебе для счастья всей жизни, самое важное есть обладание дружбой ",0
"В нас существует нечто более мудрое, нежели голова. Именно, в важные моменты, в главных шагах своей жизни мы руководствуемся не столько ясным пониманием того, что надо делать, сколько внутренним импульсом, который исходит из самой глубины нашего существа.",0
"Если бы бога не существовало, его следовало бы выдумать.",0
"Кто не обладает самим собой, имеет много меньше возможностей завладеть другим",0
"То, что вообще может быть сказано, должно быть сказано ясно; о том же, что сказать невозможно, следует молчать.",0
"Красота - это бесконечность, выраженная в законченной форме. ",0
Як пани бьються — у холопів чуби тріщать.,0
"Жена, не ведущая мужа вперед, непременно толкает его назад. ",0
"Общительность людей основана не на любви к обществу, а на страхе перед одиночеством. ",0
"Подобно тому, как колдун должен доказать, что он обладает харизмой, Бог должен доказать, что он обладает силой.",0
"Кто хочет достигнуть великого, тот должен уметь ограничивать себя. Кто же, напротив, хочет всего, тот на самом деле ничего не хочет и ничего не достигнет.",0
Одержимый желаниями и стремлениями человек обречен на страдания...,0
"Не завидуй тому кто силен и богат. За рассветом всегда наступает закат. С этой жизнью короткой, равною вдоху, обращайся как с данной тебе напрокат.",0
"Философия необыкновенно сложна, прогресс её удручающе медленен.",0
Присутствие экзистирует,0
"Лучше молчать и показаться дураком, чем заговорить и развеять все сомнения.",0
"Стыд есть неудовольствие, возникающее у людей, любящих похвалы, тогда, когда их уличают в том, что они делают или говорят нечто такое, что не подобает ни делать, ни говорить. Краска в лице есть, следовательно, признак человека, желающего быть достойным как в своих делах, так и в своих разговорах; поэтому способность краснеть похвальна у юношей, но не у людей зрелого возраста. Ибо от людей зрелого возраста мы требуем не только стремления к достойному, но и знания его.",0
"Ты [душа, ] сколько я знаю, не христианка: ведь душа обыкновенно становится христианкой, а не рождается ею.",0
"Бороться за свободу законным образом можно лишь в том случае, если она у тебя уже есть.",0
"Все земные занятия, наслаждения, почести, преимущества—пустые игрушки, которыми играют и в которые проигрывают блаженство вечности взрослые дети. ",0
"Люди, недоверчивые в отношении самих себя, больше хотят быть любимыми, нежели любить, дабы однажды, хотя бы на мгновение, суметь поверить в самих себя.",0
"Представим себе разговор двух людей. Каждый из них считает втайне другого сумасшедшим. Поэтому они боятся друг друга, крайне напряжены и стараются в разговоре быть как можно более любезными. Примерно так относятся друг к другу почти все нормальные взрослые люди.",0
"Если сущее и мыслится, то оно неизъяснимо другому, поскольку изъясняем мы посредством слов, а слово не тождественно обозначаемому им предмету и не может его объяснить, поскольку напротив, слово мы объясняем, указывая на предмет.",0
Сегодня мы живём после «конца истории».,0
"Живут слишком многие, и слишком долго висят они на своих сучьях. Пусть же придет буря и стряхнет с дерева всё гнилое и червивое!",0
"В России жить нельзя, но умирать можно...",0
"Крест есть очень давно превращенная в святыню виселица, колесо. Он утратил свое одностороннее значение орудия бесчестящей казни и совмещает, напротив, в одном образе высшее страдание и глубочайшее унижение с радостнейшим блаженством, с божественной честью.",0
